puzzle,solution,iteration,algorithm,steps,time
data/Rushhour9x9_5.csv,1,2,RU,39,7.337375399998564
data/Rushhour9x9_5.csv,1,2,ALL,39,6.1767475999986345
data/Rushhour9x9_5.csv,2,2,TOL,440,0.005143300000781892
data/Rushhour9x9_5.csv,2,2,RU,39,7.38959960000102
data/Rushhour9x9_5.csv,2,2,ALL,39,6.372758800000156
data/Rushhour9x9_5.csv,0,3,TOL,417,0.004471399999601999
data/Rushhour9x9_5.csv,0,3,RU,31,6.706117600000653
data/Rushhour9x9_5.csv,0,3,ALL,31,4.651440600000569
data/Rushhour9x9_5.csv,1,3,TOL,417,0.0040234000007330906
data/Rushhour9x9_5.csv,1,3,RU,31,5.34845789999963
data/Rushhour9x9_5.csv,1,3,ALL,31,4.721497200000158
data/Rushhour9x9_5.csv,2,3,TOL,417,0.003650000000561704
data/Rushhour9x9_5.csv,2,3,RU,31,5.3098868999986735
data/Rushhour9x9_5.csv,2,3,ALL,31,4.5968780999992305
data/Rushhour9x9_5.csv,0,4,TOL,346,0.0028345000009721844
data/Rushhour9x9_5.csv,0,4,RU,32,4.7425205999988975
data/Rushhour9x9_5.csv,0,4,ALL,32,4.009466400000747
data/Rushhour9x9_5.csv,1,4,TOL,346,0.00315740000041842
data/Rushhour9x9_5.csv,1,4,RU,32,4.740825500000938
